
"Login","Đăng nhập"
"Account and Orders","Tài khoản và đơn hàng"
"New customer?","Khách hàng mới?"
"Create account","Tạo tài khoản"
"My account","Tài khoản của tôi"
"My Orders","Đơn hàng của tôi"
"Log out","Đăng xuất"
"My Wishlist","Danh sách yêu thích"
"My Cart","Giỏ hàng"
"Recently added item(s)","Sản phẩm vừa thêm"
"You have no items in your shopping cart.","Bạn chưa chọn sản phẩm nào"
"This is your location?","Đây là vị trí của bạn?"
"You must select a product!","Bạn chưa chọn sản phẩm nào!"
"This is a required selection.","Bạn chưa chọn tùy chọn này."
"Log out","Đăng xuất"
"Invalid login or password.","Tên đăng nhập hoặc mật khẩu không đúng."
"Product Videos","Người tiêu dùng đánh giá video"
"Did you mean","Bạn muốn tìm"
"Choose your location","Chọn địa điểm gần bạn nhất"
"Total Price","Thành tiền"
"Add all to Cart","Mua tất cả"
"Add all to Wishlist","Cho vào danh sách yêu thích"
"Price for all: %s","Giá tất cả: %s"
"Show More Description","Xem thêm thông tin chi tiết sản phẩm"
"See less","Rút gọn"
"%d product(s)","%d sản phẩm"
"Call Me","Đặt hàng"
"Sort by",""
"ascending","tăng dần"
"descending","giảm dần"
"Lastest","Mới nhất"
"Bestsell","Bán chạy"
"%d items","%s sản phẩm"
"Next","Trang sau"
"Previous","Trang trước"
"Brand","Thương hiệu"
"Find brand","Tìm"
"Sign up for our newsletter","Đăng ký nhận tin từ chúng tôi"
"Enter your email here","Nhập email của bạn"
"Subscribe","Đăng ký"
"Price Sell","Giá bán"
"Shipping within <b>6 - 12hrs</b>","Giao hàng trong vòng từ <b>6 - 12h</b>"
"Free Shipping <a href=""#"">(*)</a>","Miễn phí vận chuyển <a href=""#"">(*)</a>"
"Create an account for later use","Tạo tài khoản"
"Sign up for newsletter","Đăng ký nhận tin"
"Email Address or Telephone","Email / Số điện thoại"
"Forgot password?","Quên mật khẩu?"
"%s Order(s)","%d đơn hàng"
"order(s) per page","đơn hàng mỗi trang"
"The requested quantity for ""%s"" is not available.","Số lượng của ""%s"" hiện tại không đủ"
"This product is currently out of stock.","Sản phẩm đã hết hàng."
"Some of the products are currently out of stock.","Giỏ hàng của bạn có sản phẩm hết hàng."
"Cart updated.","Đã cập nhật giỏ hàng."
"Relevance","Liên quan"
"Market Price","Giá thị trường"
"Saved","Tiết kiệm"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Email này đã được sử đăng ký, nếu bạn quên mật khẩu hãy <a href=""%s"">nhấn vào đây</a> để lấy lại."
"Thank you for registering with %s.","Cảm ơn bạn đã đăng ký thành viên với chúng tôi."
"Already registered? Click here to login","Nếu bạn đã đăng ký, nhấn vào đây để đăng nhập"
"Email address","Email"
"Your order has been received.","Đặt hàng thành công."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Nhấn <a href=""%s"" onclick=""this.target=\'_blank\'"">vào đây</a> để in đơn hàng của bạn."
"You already have a account. Please update missing infomation.","Bạn đã có tài khoản trên hệ thống. Hãy điền các thông tin còn thiếu dưới đây."
