
"Our Locations","Hệ thống cửa hàng"
"MT Location","Hệ thống cửa hàng"
"Location","Địa điểm"
"Position","Tọa độ"
"Latiude,Longtitude","Kinh độ, vĩ độ"
"Location Information","Thông tin địa điểm"
"Locations Uri","Đường dẫn"
"Default Location","Tọa độ mặc định"
