
"Scheduler","Lịch trình"
"Schedule Configuration","Tất cả lịch trình"
"List View","Lịch được xếp"
"Created","Ngày tạo"
"Scheduled","Xếp lịch"
"Executed","Đã chạy"
"Finished","Đã kết thúc"
"Messages","Báo cáo trả về"
"Schedule now","Xếp lịch ngay"
"Run now","Chạy ngay"
"Disable","Tắt"
"disabled","tắt"
"enabled","mở"
"Scheduled tasks","Lịch trình công việc"
"Available tasks","Tất cả lịch trình"
