
"Login","Đăng nhập"
"Account and Orders","Tài khoản và đơn hàng"
"New customer?","Khách hàng mới?"
"Create account","Tạo tài khoản"
"My account","Tài khoản của tôi"
"My Orders","Đơn hàng của tôi"
"Log out","Đăng xuất"
"My Wishlist","Danh sách yêu thích"
